housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
36,40,10,64,14,2.625,55000
27,4006,762,1806,718,3.1848,112800
26,1910,371,852,357,5.8325,298900
16,4392,602,1490,578,10.5424,500001
30,4412,862,2168,772,5.0062,232000
37,1269,340,1369,302,2.2102,87200
38,1594,249,633,247,5.9582,350700
16,3230,579,1825,576,4.2969,151200
19,1615,366,815,337,3.4609,238800
17,1605,258,748,262,5.0917,134100
19,822,134,457,133,4.15,157500
16,3960,716,1776,724,3.9886,137500
36,1435,249,606,234,4.1439,212600
37,1184,290,1320,276,2.3,165600
33,2178,445,1153,400,3.6083,212000
22,1236,273,615,248,3.0217,106900
52,2134,277,936,285,5.9245,484600
43,2976,599,1181,560,2.2621,85100
16,2655,487,1862,448,6.057,246800
15,8948,1985,1316,514,2.7375,90800
12,7508,1058,2484,965,5.8788,500001
23,2744,588,1493,557,3.1781,162000
15,6809,1052,3060,1060,5.3064,165000
15,2994,522,1231,503,3.2024,180400
20,2498,546,1185,506,3.2243,107900
28,1843,554,1402,512,2.462,254000
37,3018,547,1720,512,2.7269,124100
36,2422,420,1193,421,4.8462,225700
29,5536,862,2651,881,5.6358,282100
44,2663,511,1277,462,4.3194,199500
25,1859,463,1070,374,2.5395,187500
45,2019,363,880,339,4.1023,217300
15,1448,378,949,300,0.8585,45000
15,3243,551,1752,551,5.5849,257400
30,442,103,413,88,1.5694,57900
25,4026,791,1850,709,4.1483,181200
34,1552,444,2093,413,2.2125,103200
47,1745,270,753,275,5.532,318500
15,3045,689,1340,588,3.1953,85700
52,1028,129,317,143,4.9135,275000
17,1926,410,1054,321,1.6214,71500
22,1999,415,967,320,4.4583,253900
29,815,206,590,183,3.0052,166700
26,1589,259,735,315,4.5714,243200
6,3883,800,2319,787,3.5595,161000
31,2668,812,1398,721,1.125,110400
29,2474,453,1130,427,2.8833,83000
44,1436,271,850,269,3.2768,179100
15,1933,280,965,260,4.6477,142700
9,1114,172,529,174,4.7159,163700
27,1297,355,776,337,2.4643,244400
52,1629,277,819,288,3.725,142600
16,1177,240,519,199,1.5739,73500
30,3977,930,1387,582,2.6161,132500
11,2559,694,1309,668,4.1847,167300
36,2417,421,1276,426,5.5601,205200
15,1882,233,704,219,6.9794,500001
14,2606,514,1228,512,2.5764,150000
25,1231,240,658,211,2.4861,71900
10,2653,621,1967,598,2.6643,81000
28,922,107,314,97,8.4721,342300
16,2867,559,1203,449,2.7143,95300
17,4150,1148,1808,1041,3.5051,232400
8,2870,526,1307,451,3.463,201700
32,1677,354,1021,339,3.6853,90900
37,1091,269,905,242,3.1042,152000
35,10869,2226,9879,2152,2.5681,81300
48,1455,354,788,332,0.8056,84400
36,3225,635,2034,593,2.4044,72500
33,45,11,34,10,5.2949,350000
24,9071,1335,4558,1327,5.542,197500
14,1204,227,633,247,3.925,83800
15,6940,1019,2829,990,5.4889,232300
2,647,136,203,118,6.641,310000
25,3696,953,2827,860,3.3438,153300
14,3541,499,1577,459,5.3351,269900
23,1619,447,1025,415,1.858,67500
17,1692,427,903,423,3.5859,262500
33,1350,265,1251,257,2.9063,115200
6,12991,2555,4571,1926,4.7195,199300
38,901,205,760,208,2.9643,147400
44,472,81,206,57,2.2083,93800
33,1921,397,1492,393,4.375,150500
27,3500,1036,3019,955,2.9222,153700
23,2564,347,1043,351,6.2048,275000
26,4486,709,1873,719,6.5704,414700
35,1445,309,795,308,2.9073,157000
52,1279,287,534,291,3.1429,231600
26,2141,597,2038,585,2.2981,177700
20,531,126,231,96,2.625,89600
35,1608,465,2140,488,3.1979,154700
5,2665,954,1733,766,2.3568,204700
35,2506,406,1316,398,3.8472,197600
30,4030,772,1777,718,3.6393,184000
36,1379,265,896,246,4.6827,183800
7,9729,1210,4160,1214,8.9088,415300
19,1684,387,1224,376,4.1389,174100
34,1357,310,1042,287,3.4083,156700
10,416,110,436,70,2.2222,262500
11,1454,247,635,236,6.2427,218500
52,1740,402,749,335,3.5673,270700
37,1508,252,635,241,3.75,221300
17,2488,617,1287,538,2.9922,179900
32,2668,609,1512,541,2.9422,233100
34,1011,274,1164,262,2.8542,146900
52,1241,210,526,214,4.4191,334100
52,144,54,89,48,1.0096,162500
50,1509,291,690,259,6.2344,500001
33,1996,268,686,270,6.9096,341800
33,4853,1105,2855,1006,3.2622,208600
17,2357,599,1423,510,1.8856,118800
32,2910,641,2011,614,2.7473,70800
36,1946,340,828,313,5.2811,287700
32,2826,627,1767,628,3.1047,141400
32,1377,444,768,422,2.2621,187500
4,3371,773,1481,627,2.9133,215700
25,1590,218,568,206,8.4389,500001
36,1830,430,755,419,2.9904,286800
25,2851,968,3744,906,2.0675,116700
39,1258,245,988,228,3.2132,176100
17,8005,1382,999,383,3.9722,313400
26,2355,531,1047,497,1.8208,79500
41,1621,279,756,277,5.0594,346000
36,1887,359,761,329,5.4847,296000
33,2189,497,1459,443,2.3958,94500
8,2865,389,1376,417,7.9393,399300
29,3768,1211,2320,1030,2.7685,204500
15,5266,1031,2147,885,2.8036,110100
20,804,121,448,140,3.9632,147100
42,2532,627,2038,591,2.875,177500
31,334,134,780,130,0.7684,153100
52,3510,791,1703,657,2.8654,280000
52,1318,308,1368,310,1.8261,54600
42,1516,341,634,327,6.2356,472700
8,4983,754,2510,725,6.9454,276500
31,1854,365,883,310,2.3167,92600
30,2504,559,1827,490,2.6146,159400
11,3874,565,1672,546,6.1481,274600
45,1192,371,1084,345,2.8594,205900
30,2992,516,1521,507,3.9128,126900
26,1797,244,626,244,7.8575,424600
26,5321,889,2932,896,5.8914,237600
48,1246,294,697,284,3.6118,235500
17,2079,459,2022,462,1.5464,54100
33,2643,464,1015,427,4.2232,363700
52,2556,595,1202,568,3.8899,348500
37,1665,335,1011,343,4.8703,185100
37,1704,361,902,356,1.9837,62300
52,2911,753,1696,676,2.5721,475000
23,1538,305,730,267,2.6078,116700
30,1291,230,835,215,5.5,181500
